Detected 32 cores in 1 packages

Core energy units: a1003
Time_unit:10, Energy_unit: 16, Power_unit: 3
Core 15, energy used: 0.00595093W, Package: 121.761W
Core sum: 0.184631W, Time: 18.017170
Core 0, energy used: 0.0242615W, Package: 121.414W
Core 1, energy used: 0.0242615W, Package: 121.414W
Core 2, energy used: 0.0271606W, Package: 121.414W
Core 3, energy used: 0.0271606W, Package: 121.414W
Core 4, energy used: 0.0363159W, Package: 121.414W
Core 5, energy used: 0.0363159W, Package: 121.414W
Core 6, energy used: 0.0274658W, Package: 121.414W
Core 7, energy used: 0.0274658W, Package: 121.414W
Core 8, energy used: 0.0427246W, Package: 121.414W
Core 9, energy used: 0.0427246W, Package: 121.414W
Core 10, energy used: 0.0292969W, Package: 121.414W
Core 11, energy used: 0.0292969W, Package: 121.414W
Core 12, energy used: 1.17188W, Package: 121.414W
Core 13, energy used: 1.17188W, Package: 121.414W
Core 14, energy used: 0.0280762W, Package: 121.414W
Core 15, energy used: 0.0280762W, Package: 121.414W
Core sum: 2.77435W, Time: 19.018292
Core 0, energy used: 0.0140381W, Package: 114.817W
Core 1, energy used: 0.0140381W, Package: 114.817W
Core 2, energy used: 0.00595093W, Package: 114.817W
Core 3, energy used: 0.00595093W, Package: 114.817W
Core 4, energy used: 0.0154114W, Package: 114.817W
Core 5, energy used: 0.0154114W, Package: 114.817W
Core 6, energy used: 0.0050354W, Package: 114.817W
Core 7, energy used: 0.0050354W, Package: 114.817W
Core 8, energy used: 0.0109863W, Package: 114.817W
Core 9, energy used: 0.0109863W, Package: 114.817W
Core 10, energy used: 0.00656128W, Package: 114.817W
Core 11, energy used: 0.00656128W, Package: 114.817W
Core 12, energy used: 0.00488281W, Package: 114.817W
Core 13, energy used: 0.00488281W, Package: 114.817W
Core 14, energy used: 0.00747681W, Package: 114.817W
Core 15, energy used: 0.00747681W, Package: 114.817W
Core sum: 0.140686W, Time: 20.019278
Core 0, energy used: 0.00762939W, Package: 119.323W
Core 1, energy used: 0.00762939W, Package: 119.323W
Core 2, energy used: 0.0106812W, Package: 119.323W
Core 3, energy used: 0.0106812W, Package: 119.323W
Core 4, energy used: 0.0151062W, Package: 119.323W
Core 5, energy used: 0.0146484W, Package: 119.323W
Core 6, energy used: 0.00854492W, Package: 119.323W
Core 7, energy used: 0.00854492W, Package: 119.323W
Core 8, energy used: 0.0166321W, Package: 119.323W
Core 9, energy used: 0.0166321W, Package: 119.323W
Core 10, energy used: 0.00930786W, Package: 119.323W
Core 11, energy used: 0.00930786W, Package: 119.323W
Core 12, energy used: 0.0111389W, Package: 119.323W
Core 13, energy used: 0.0111389W, Package: 119.323W
Core 14, energy used: 0.00946045W, Package: 119.323W
Core 15, energy used: 0.00946045W, Package: 119.323W
Core sum: 0.176544W, Time: 21.020281
Core 0, energy used: 0.0106812W, Package: 116.5W
Core 1, energy used: 0.0106812W, Package: 116.5W
Core 2, energy used: 0.00274658W, Package: 116.5W
Core 3, energy used: 0.00274658W, Package: 116.5W
Core 4, energy used: 0.00808716W, Package: 116.5W
Core 5, energy used: 0.00808716W, Package: 116.5W
Core 6, energy used: 0.00274658W, Package: 116.5W
