GPU Power (W), Time (S), 
160, 2.416506, 
160, 2.417945, 
160, 2.419365, 
160, 2.420799, 
160, 2.422220, 
166, 2.437859, 
166, 2.439306, 
166, 2.440720, 
166, 2.442159, 
169, 2.459694, 
169, 2.461159, 
169, 2.462590, 
150, 2.478179, 
150, 2.479606, 
150, 2.481017, 
150, 2.482459, 
133, 2.494648, 
133, 2.496087, 
133, 2.497511, 
133, 2.498928, 
133, 2.500346, 
133, 2.501766, 
133, 2.503180, 
173, 2.515528, 
173, 2.516963, 
173, 2.518399, 
173, 2.519810, 
173, 2.521236, 
173, 2.522669, 
170, 2.538263, 
170, 2.539700, 
170, 2.541125, 
170, 2.542542, 
138, 2.557260, 
138, 2.558766, 
138, 2.560182, 
138, 2.561600, 
138, 2.563024, 
164, 2.574981, 
164, 2.576423, 
164, 2.577843, 
164, 2.579254, 
164, 2.580676, 
164, 2.582137, 
164, 2.583562, 
149, 2.598608, 
149, 2.600181, 
149, 2.601606, 
149, 2.603048, 
121, 2.613776, 
121, 2.615202, 
121, 2.616647, 
121, 2.618113, 
121, 2.619545, 
121, 2.620971, 
121, 2.622398, 
121, 2.623817, 
154, 2.634833, 
154, 2.636273, 
154, 2.637699, 
154, 2.639117, 
154, 2.640532, 
154, 2.641955, 
154, 2.643373, 
161, 2.656942, 
161, 2.658616, 
161, 2.660048, 
161, 2.661464, 
161, 2.662877, 
161, 2.664312, 
155, 2.677143, 
155, 2.678564, 
155, 2.679981, 
155, 2.681403, 
155, 2.682814, 
155, 2.684232, 
142, 2.696428, 
142, 2.697853, 
142, 2.699274, 
142, 2.700694, 
142, 2.702133, 
142, 2.703553, 
109, 2.711722, 
109, 2.713149, 
109, 2.714572, 
109, 2.715997, 
109, 2.717417, 
109, 2.718847, 
109, 2.720264, 
109, 2.721678, 
109, 2.723108, 
109, 2.724526, 
114, 2.731435, 
114, 2.732860, 
114, 2.734276, 
114, 2.735689, 
114, 2.737115, 
114, 2.742508, 
114, 2.743943, 
108, 2.750868, 
108, 2.752301, 
108, 2.753718, 
108, 2.755130, 
108, 2.756543, 
108, 2.757959, 
108, 2.759387, 
108, 2.760816, 
108, 2.762239, 
108, 2.763874, 
125, 2.776784, 
125, 2.778282, 
125, 2.779703, 
125, 2.781126, 
125, 2.782541, 
125, 2.783975, 
144, 2.798722, 
144, 2.800159, 
144, 2.801585, 
144, 2.802996, 
144, 2.804410, 
146, 2.823310, 
146, 2.824748, 
146, 2.841537, 
146, 2.842970, 
146, 2.844396, 
171, 2.864171, 
145, 2.887132, 
146, 2.904748, 
152, 2.924610, 
149, 2.944525, 
149, 2.945972, 
158, 2.963551, 
158, 2.964986, 
156, 2.987310, 
160, 3.000050, 
160, 3.001537, 
160, 3.003006, 
160, 3.004493, 
160, 3.005969, 
157, 3.020160, 
157, 3.021621, 
157, 3.023083, 
157, 3.024548, 
157, 3.026035, 
121, 3.040596, 
121, 3.042109, 
121, 3.043581, 
121, 3.045040, 
121, 3.046513, 
127, 3.053802, 
127, 3.055304, 
127, 3.056774, 
127, 3.058243, 
127, 3.059721, 
127, 3.061192, 
127, 3.062685, 
127, 3.064169, 
127, 3.065690, 
144, 3.078060, 
144, 3.079524, 
144, 3.080942, 
144, 3.082414, 
144, 3.083826, 
144, 3.085263, 
144, 3.086924, 
166, 3.098042, 
166, 3.099742, 
166, 3.101265, 
166, 3.102721, 
166, 3.104209, 
166, 3.105798, 
161, 3.119051, 
161, 3.122220, 
161, 3.123764, 
161, 3.125312, 
161, 3.126879, 
163, 3.140692, 
163, 3.142245, 
163, 3.143726, 
163, 3.145198, 
163, 3.146667, 
157, 3.161733, 
157, 3.163217, 
157, 3.164675, 
157, 3.166179, 
160, 3.182229, 
160, 3.183730, 
160, 3.185276, 
160, 3.186737, 
