GPU Power (W), Time (S), 
160, 2.156008, 
160, 2.157465, 
166, 2.171208, 
166, 2.173680, 
166, 2.175130, 
166, 2.176555, 
166, 2.177968, 
130, 2.187718, 
130, 2.189158, 
130, 2.190594, 
130, 2.192141, 
130, 2.193669, 
130, 2.195172, 
130, 2.196688, 
130, 2.198205, 
146, 2.208017, 
146, 2.209546, 
146, 2.211046, 
146, 2.212539, 
146, 2.214107, 
146, 2.215656, 
146, 2.217195, 
146, 2.218803, 
157, 2.228675, 
157, 2.230243, 
157, 2.231788, 
157, 2.233309, 
157, 2.234871, 
157, 2.236413, 
157, 2.237944, 
140, 2.248556, 
140, 2.250048, 
140, 2.251509, 
140, 2.252968, 
140, 2.254435, 
140, 2.255906, 
140, 2.257368, 
140, 2.258963, 
142, 2.268225, 
142, 2.269713, 
142, 2.271228, 
142, 2.272694, 
142, 2.274211, 
142, 2.275679, 
142, 2.277149, 
142, 2.278615, 
145, 2.287250, 
145, 2.288748, 
145, 2.290231, 
145, 2.291721, 
145, 2.293188, 
145, 2.294649, 
145, 2.296179, 
145, 2.297641, 
145, 2.299141, 
134, 2.307308, 
134, 2.308756, 
134, 2.310177, 
134, 2.311601, 
134, 2.313074, 
134, 2.314539, 
134, 2.316038, 
134, 2.317491, 
134, 2.318928, 
136, 2.331399, 
136, 2.334604, 
136, 2.336025, 
136, 2.337447, 
136, 2.338879, 
156, 2.348506, 
156, 2.350074, 
156, 2.351668, 
156, 2.353260, 
156, 2.354899, 
156, 2.356503, 
156, 2.358105, 
156, 2.370922, 
156, 2.372433, 
156, 2.373942, 
156, 2.375408, 
156, 2.376873, 
156, 2.378336, 
119, 2.386700, 
119, 2.388208, 
119, 2.389674, 
119, 2.391146, 
119, 2.392614, 
119, 2.394082, 
119, 2.395553, 
119, 2.397048, 
119, 2.398489, 
107, 2.406129, 
107, 2.407721, 
107, 2.409259, 
107, 2.410818, 
107, 2.412373, 
107, 2.413924, 
107, 2.415469, 
107, 2.417013, 
107, 2.418542, 
113, 2.426118, 
113, 2.427667, 
113, 2.429220, 
113, 2.430710, 
113, 2.432177, 
113, 2.433638, 
113, 2.435181, 
113, 2.436671, 
113, 2.438221, 
113, 2.439811, 
138, 2.449302, 
138, 2.450888, 
138, 2.452435, 
138, 2.453976, 
138, 2.455460, 
138, 2.456971, 
138, 2.458542, 
176, 2.470415, 
176, 2.471943, 
176, 2.473497, 
176, 2.475036, 
176, 2.476581, 
176, 2.478115, 
176, 2.479657, 
159, 2.489699, 
159, 2.491247, 
159, 2.492786, 
159, 2.498536, 
159, 2.500215, 
178, 2.509681, 
178, 2.515132, 
178, 2.516686, 
178, 2.518244, 
178, 2.519784, 
152, 2.533800, 
152, 2.535423, 
152, 2.536969, 
152, 2.538504, 
152, 2.540048, 
140, 2.547715, 
140, 2.549263, 
140, 2.550801, 
140, 2.552345, 
140, 2.553879, 
140, 2.555415, 
140, 2.556956, 
140, 2.558499, 
140, 2.560035, 
159, 2.570471, 
159, 2.572030, 
159, 2.573570, 
159, 2.575117, 
159, 2.576653, 
159, 2.578187, 
159, 2.579726, 
156, 2.591018, 
156, 2.592578, 
156, 2.594121, 
156, 2.595668, 
156, 2.597204, 
156, 2.598759, 
156, 2.600299, 
150, 2.609365, 
150, 2.610824, 
150, 2.612243, 
150, 2.613657, 
150, 2.615110, 
150, 2.616527, 
150, 2.617940, 
150, 2.619372, 
146, 2.629430, 
146, 2.630894, 
146, 2.632374, 
146, 2.633846, 
146, 2.635372, 
146, 2.636866, 
146, 2.638322, 
146, 2.639778, 
151, 2.650888, 
151, 2.652331, 
151, 2.653769, 
151, 2.655194, 
151, 2.656666, 
151, 2.658133, 
151, 2.659601, 
169, 2.670721, 
169, 2.672852, 
169, 2.674487, 
169, 2.675960, 
169, 2.677481, 
169, 2.679012, 
169, 2.680524, 
155, 2.689503, 
155, 2.691014, 
155, 2.693585, 
155, 2.695257, 
155, 2.696857, 
155, 2.698393, 
155, 2.699935, 
175, 2.714693, 
175, 2.716342, 
175, 2.717890, 
175, 2.719427, 
175, 2.720982, 
134, 2.733261, 
134, 2.737039, 
134, 2.738591, 
134, 2.740129, 
134, 2.741704, 
112, 2.748452, 
112, 2.750123, 
112, 2.756292, 
112, 2.757851, 
112, 2.759407, 
112, 2.760970, 
107, 2.772473, 
107, 2.774059, 
107, 2.775616, 
107, 2.777171, 
107, 2.778736, 
107, 2.780301, 
111, 2.788251, 
111, 2.789838, 
111, 2.791401, 
111, 2.793018, 
111, 2.794570, 
111, 2.796116, 
111, 2.797653, 
111, 2.799188, 
111, 2.800747, 
133, 2.812459, 
133, 2.813997, 
133, 2.815556, 
133, 2.817111, 
133, 2.818657, 
133, 2.820738, 
173, 2.837917, 
173, 2.839537, 
173, 2.841099, 
159, 2.851833, 
159, 2.853395, 
159, 2.854961, 
159, 2.856519, 
159, 2.858079, 
159, 2.859644, 
159, 2.861187, 
171, 2.871981, 
171, 2.873720, 
171, 2.875267, 
171, 2.876811, 
171, 2.878354, 
171, 2.879903, 
171, 2.881455, 
147, 2.893802, 
147, 2.898058, 
147, 2.899625, 
147, 2.901098, 
147, 2.902609, 
146, 2.909414, 
146, 2.910887, 
146, 2.912343, 
146, 2.913806, 
146, 2.915244, 
146, 2.916674, 
146, 2.918141, 
146, 2.919617, 
146, 2.921070, 
146, 2.922588, 
168, 2.931889, 
168, 2.933330, 
168, 2.934853, 
168, 2.936338, 
168, 2.937812, 
168, 2.939301, 
168, 2.940763, 
168, 2.942214, 
158, 2.953112, 
158, 2.954574, 
158, 2.956021, 
158, 2.957477, 
158, 2.958923, 
158, 2.960371, 
158, 2.961861, 
160, 2.972337, 
160, 2.973963, 
160, 2.975537, 
160, 2.977113, 
160, 2.978688, 
160, 2.980265, 
160, 2.981851, 
142, 2.990924, 
142, 2.992452, 
142, 2.993938, 
142, 2.995491, 
142, 2.997082, 
142, 3.001801, 
154, 3.015343, 
154, 3.016916, 
154, 3.018392, 
154, 3.019856, 
154, 3.021326, 
154, 3.022825, 
184, 3.032949, 
184, 3.034455, 
184, 3.035941, 
184, 3.037404, 
184, 3.038888, 
184, 3.040370, 
184, 3.041849, 
184, 3.043362, 
163, 3.051186, 
163, 3.052700, 
163, 3.054162, 
163, 3.055590, 
163, 3.057020, 
163, 3.058435, 
163, 3.059886, 
163, 3.061349, 
163, 3.062835, 
181, 3.074740, 
181, 3.076664, 
181, 3.078368, 
181, 3.079946, 
181, 3.081515, 
181, 3.083213, 
135, 3.093405, 
135, 3.094909, 
135, 3.096400, 
135, 3.097870, 
135, 3.099305, 
135, 3.100745, 
135, 3.102179, 
135, 3.103626, 
112, 3.109581, 
112, 3.111093, 
112, 3.112564, 
112, 3.114064, 
112, 3.115586, 
112, 3.117033, 
112, 3.118501, 
112, 3.120015, 
112, 3.121480, 
112, 3.123010, 
102, 3.129930, 
102, 3.131462, 
102, 3.133047, 
102, 3.134507, 
102, 3.135963, 
102, 3.137439, 
102, 3.138930, 
102, 3.140404, 
102, 3.141874, 
102, 3.143359, 
152, 3.151152, 
152, 3.152677, 
152, 3.154216, 
152, 3.155676, 
152, 3.157139, 
152, 3.158636, 
152, 3.160186, 
152, 3.161732, 
152, 3.163376, 
158, 3.174771, 
158, 3.177566, 
158, 3.179083, 
158, 3.180557, 
158, 3.182042, 
158, 3.183478, 
175, 3.194747, 
175, 3.196653, 
175, 3.198133, 
175, 3.199692, 
175, 3.201153, 
175, 3.202651, 
175, 3.204144, 
174, 3.215785, 
174, 3.218481, 
174, 3.220013, 
174, 3.221546, 
174, 3.223121, 
171, 3.238399, 
171, 3.241932, 
171, 3.243471, 
125, 3.253225, 
125, 3.254739, 
125, 3.256227, 
125, 3.257707, 
125, 3.259195, 
125, 3.260763, 
125, 3.262308, 
125, 3.263848, 
148, 3.273760, 
148, 3.275324, 
148, 3.276865, 
148, 3.278415, 
148, 3.279957, 
148, 3.281513, 
148, 3.283066, 
148, 3.284611, 
154, 3.295398, 
154, 3.296963, 
154, 3.298501, 
154, 3.300047, 
154, 3.303944, 
137, 3.314992, 
137, 3.316635, 
137, 3.318179, 
137, 3.319726, 
137, 3.321264, 
137, 3.322818, 
137, 3.324357, 
146, 3.336420, 
146, 3.341960, 
146, 3.343517, 
146, 3.345056, 
144, 3.355301, 
144, 3.356874, 
144, 3.358399, 
144, 3.359965, 
144, 3.361515, 
144, 3.363059, 
144, 3.364807, 
139, 3.375175, 
139, 3.376793, 
139, 3.378342, 
139, 3.379868, 
139, 3.381431, 
139, 3.382997, 
139, 3.384558, 
146, 3.404516, 
149, 3.416800, 
149, 3.423231, 
149, 3.424788, 
151, 3.438208, 
151, 3.443280, 
151, 3.444841, 
115, 3.454588, 
115, 3.456153, 
115, 3.457705, 
115, 3.459253, 
115, 3.460823, 
115, 3.462386, 
115, 3.463940, 
115, 3.465505, 
102, 3.472079, 
102, 3.473682, 
102, 3.475218, 
102, 3.476777, 
102, 3.478336, 
102, 3.479927, 
102, 3.481472, 
102, 3.483015, 
102, 3.484578, 
105, 3.492357, 
105, 3.493926, 
105, 3.495475, 
105, 3.497024, 
105, 3.498572, 
105, 3.500129, 
105, 3.505483, 
157, 3.513574, 
157, 3.515145, 
157, 3.516683, 
157, 3.518206, 
157, 3.519765, 
157, 3.521312, 
157, 3.522878, 
157, 3.524425, 
157, 3.525971, 
212, 3.536203, 
212, 3.539415, 
212, 3.540974, 
212, 3.542511, 
212, 3.544052, 
212, 3.545594, 
162, 3.559448, 
162, 3.562875, 
158, 3.579155, 
158, 3.580648, 
158, 3.582070, 
158, 3.583493, 
158, 3.584904, 
158, 3.586332, 
134, 3.599548, 
134, 3.601005, 
134, 3.602444, 
134, 3.603942, 
134, 3.605414, 
126, 3.614789, 
126, 3.616397, 
126, 3.617896, 
126, 3.619360, 
126, 3.620794, 
126, 3.622255, 
126, 3.623728, 
126, 3.625173, 
126, 3.626609, 
147, 3.636343, 
147, 3.637818, 
147, 3.639237, 
147, 3.640659, 
147, 3.642107, 
147, 3.643588, 
147, 3.645063, 
147, 3.646543, 
149, 3.658868, 
149, 3.660367, 
149, 3.661851, 
149, 3.663337, 
149, 3.664784, 
149, 3.666226, 
133, 3.677601, 
133, 3.679078, 
133, 3.680794, 
133, 3.682230, 
133, 3.683681, 
133, 3.685163, 
133, 3.686634, 
133, 3.696216, 
133, 3.697696, 
133, 3.699214, 
133, 3.700661, 
133, 3.702085, 
133, 3.703550, 
133, 3.705003, 
133, 3.706442, 
148, 3.715587, 
148, 3.717161, 
148, 3.718697, 
148, 3.720263, 
148, 3.721793, 
148, 3.723302, 
148, 3.724748, 
148, 3.726439, 
145, 3.737288, 
145, 3.738917, 
145, 3.740470, 
145, 3.742004, 
145, 3.743538, 
145, 3.745081, 
145, 3.746629, 
131, 3.759134, 
131, 3.760730, 
131, 3.762275, 
131, 3.763906, 
131, 3.765473, 
131, 3.767031, 
149, 3.778140, 
149, 3.779635, 
149, 3.781118, 
149, 3.782679, 
149, 3.784232, 
149, 3.785779, 
149, 3.787316, 
134, 3.799813, 
134, 3.804626, 
134, 3.806189, 
110, 3.815083, 
110, 3.819126, 
110, 3.820602, 
110, 3.822086, 
110, 3.823556, 
110, 3.825024, 
110, 3.826495, 
102, 3.833432, 
102, 3.834912, 
102, 3.837591, 
102, 3.840563, 
102, 3.842125, 
102, 3.843678, 
102, 3.845215, 
102, 3.846788, 
124, 3.854171, 
124, 3.855741, 
124, 3.857435, 
124, 3.858976, 
124, 3.860516, 
124, 3.862065, 
124, 3.863602, 
124, 3.865138, 
124, 3.866687, 
159, 3.880092, 
159, 3.881638, 
159, 3.883120, 
159, 3.884680, 
159, 3.886232, 
159, 3.887780, 
170, 3.900625, 
170, 3.903603, 
170, 3.905100, 
170, 3.906658, 
156, 3.920741, 
156, 3.927212, 
157, 3.940168, 
157, 3.941622, 
157, 3.943088, 
157, 3.944502, 
157, 3.945949, 
157, 3.947430, 
131, 3.960846, 
131, 3.962308, 
131, 3.963732, 
131, 3.965158, 
131, 3.966689, 
131, 3.968263, 
131, 3.976592, 
131, 3.978123, 
131, 3.979659, 
131, 3.981184, 
131, 3.982790, 
131, 3.984244, 
131, 3.985789, 
131, 3.987224, 
148, 3.998341, 
148, 3.999791, 
148, 4.001290, 
148, 4.002783, 
148, 4.006729, 
148, 4.008244, 
144, 4.019130, 
144, 4.022192, 
144, 4.023741, 
144, 4.025274, 
144, 4.026844, 
144, 4.028366, 
135, 4.037693, 
135, 4.039278, 
135, 4.040804, 
135, 4.042340, 
135, 4.043896, 
135, 4.045428, 
135, 4.046977, 
135, 4.048518, 
144, 4.057861, 
144, 4.059413, 
144, 4.060944, 
144, 4.062464, 
144, 4.063995, 
144, 4.065525, 
